"Core" "Lat" "Lon" "Ocean_depth" "d13C" "age" "age_weights" "run.no"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.236363600000004 "4"
"ODP1063" 33.683333 -57.616667 4584 0.454975609756096 114.603333333333 2.05 "4"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.741140000000016 "4"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.324406971153834 "4"
"SU90-11" 44.07 -40.02 3645 0.397490269401682 113.99308190709 1.23246943765282 "4"
"U1308" 49.87776 -24.23811 3871 0.635474254742547 114.298571428571 3.69000000000001 "4"
"V22-174" -10.07 -12.82 2630 0.53 115.249224193548 0.0507758064515968 "4"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.256521699999993 "4"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.211533461169708 "4"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.504247311827953 "4"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.675307547169822 "5"
"GIK23414-9" 53.54 -20.29 2196 0.85 114.457491549296 0.942508450704238 "5"
"GIK23415-9" 53.18 -19.15 2472 0.745506682266384 114.33588105802 0.300755290102401 "5"
"GIK23418-8" 52.55 -20.33 2841 0.606594892807323 114.498811360459 0.228784095713991 "5"
"ODP983" 60.4 -23.64 1984 1.06111772521396 114.100143091564 2.36803722541289 "5"
"V28-56" 68.033 -6.117 2941 1.06 115 0.400000000000006 "5"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.791061844863734 "5"
"ODP1089" -40.94 9.89 4621 -0.479101355686517 114.264889774436 2.37210781954883 "5"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.977573384615368 "5"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.82306653746771 "5"
"CH69_K09" 41.75 -47.35 4100 0.576131386861315 114.575 1.37 "5"
"EW9209-1JPC" 5.91 -44.2 4056 0.650618242111568 114.238157198953 2.34408285340318 "5"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.576470600000007 "5"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.955555600000011 "5"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.399999999999991 "5"
"GIK12392-1" 25.17 -16.85 2573 0.818899299618016 115.113446097815 1.14621560874089 "5"
"GIK16004" 29.98 -10.65 1512 0.97 115.357249829352 0.0427501706484748 "5"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.475591623864091 "5"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.662660431654672 "5"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.178699999999992 "5"
"GeoB1041" -3.48 -7.6 4033 0.36 115.113753758542 0.28624624145786 "5"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.207327342256193 "5"
"GeoB1105" -1.67 -12.43 3225 0.493567461510688 114.53891523507 1.02388523424766 "5"
"GeoB1115" -3.56 -12.56 2945 0.85 115.169325752508 0.230674247491635 "5"
"GeoB1117" -3.82 -14.9 3984 -0.08 114.874892356688 0.525107643312097 "5"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.945516666666663 "5"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.569034655532363 "5"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.999761600928068 "5"
"GeoB7920-2" 20.75 -18.58 2278 0.266522490626003 114.460501674829 1.60542544619864 "5"
"IODP-U1308" 49.88 -24.24 3883 0.568269330438153 114.50809665943 4.28277450339574 "5"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.74647272718704 114.40625 1.14583339999999 "5"
"MD95_2042" 37.799833 -10.1665 3146 0.518576642335766 114.333333333333 2.74000000000002 "5"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.136363599999996 "5"
"ODP1063" 33.683333 -57.616667 4584 0.492651162790699 114.603333333333 2.15000000000001 "5"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.641140000000007 "5"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.424406971153843 "5"
"SU90-11" 44.07 -40.02 3645 0.398235348074065 113.99308190709 1.18616381418092 "5"
"U1308" 49.87776 -24.23811 3871 0.617799442896934 114.298571428571 3.59 "5"
"V22-174" -10.07 -12.82 2630 0.53 115.249224193548 0.150775806451605 "5"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.356521700000002 "5"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.111533461169699 "5"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.404247311827945 "5"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.775307547169817 "6"
"GIK17051" 56.16 -31.99 2295 0.96 115.473237837838 0.026762162162143 "6"
"GIK23414-9" 53.54 -20.29 2196 0.85 114.457491549296 0.957491549295767 "6"
"GIK23415-9" 53.18 -19.15 2472 0.8 115.185503412969 0.314496587030732 "6"
"GIK23418-8" 52.55 -20.33 2841 0.584740226798326 114.498811360459 0.228784095713991 "6"
"ODP983" 60.4 -23.64 1984 1.05001391683785 114.503410421902 2.17480530099689 "6"
"V28-56" 68.033 -6.117 2941 1.06 115 0.5 "6"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.891061844863728 "6"
"ODP1089" -40.94 9.89 4621 -0.480799060155212 114.47262160401 2.3381453634085 "6"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.877573384615374 "6"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.923066537467705 "6"
"CH69_K09" 41.75 -47.35 4100 0.612627737226276 114.575 1.37 "6"
"EW9209-1JPC" 5.91 -44.2 4056 0.629548095062745 114.43884348822 2.30867081151837 "6"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.676470600000002 "6"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.944444399999995 "6"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.299999999999997 "6"
"GIK12392-1" 25.17 -16.85 2573 0.808189460864875 115.113446097815 1.54621560874087 "6"
"GIK16004" 29.98 -10.65 1512 0.97 115.357249829352 0.142750170648469 "6"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.575591623864085 "6"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.562660431654677 "6"
"GeoB1035" -21.59 5.03 4453 0 113.5787 0.0786999999999978 "6"
"GeoB1041" -3.48 -7.6 4033 0.36 115.113753758542 0.386246241457854 "6"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.107327342256198 "6"
"GeoB1105" -1.67 -12.43 3225 0.483800741896504 114.53891523507 1.02388523424766 "6"
"GeoB1115" -3.56 -12.56 2945 0.85 115.169325752508 0.330674247491629 "6"
"GeoB1117" -3.82 -14.9 3984 -0.08 114.874892356688 0.625107643312091 "6"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.954483333333343 "6"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.469034655532369 "6"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.900238399071938 "6"
"GeoB7920-2" 20.75 -18.58 2278 0.249707731737696 114.460501674829 1.62307433141746 "6"
"IODP-U1308" 49.88 -24.24 3883 0.579488951004551 114.50809665943 4.38277450339574 "6"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.72290909219438 114.40625 1.14583339999999 "6"
"MD95_2042" 37.799833 -10.1665 3146 0.514306049822064 114.514 2.81000000000002 "6"
"MD96-2080" -36.2667 19.475 2488 0.67 113.5363636 0.0363636000000014 "6"
"ODP1063" 33.683333 -57.616667 4584 0.523089201877933 114.603333333333 2.13 "6"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.541140000000013 "6"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.524406971153837 "6"
"SU90-11" 44.07 -40.02 3645 0.398891496277343 113.99308190709 0.986163814180927 "6"
"U1308" 49.87776 -24.23811 3871 0.595165745856353 114.574285714286 3.62 "6"
"V22-174" -10.07 -12.82 2630 0.53 115.249224193548 0.2507758064516 "6"
