"Lat" "Lon" "Ocean_depth" "d13C" "weights" "run.no"
5.26 -21.71 3423 1.045 4.3 "3"
5.26 -21.71 3423 1.04545454545455 4.3 "3"
5.46 -43.75 4012 1.01 4.9 "3"
5.46 -43.75 4012 0.88 4.9 "3"
5.91 -44.2 4056 0.64 4.9 "3"
5.91 -44.2 4056 0.51 4.9 "3"
5.98 -43.74 4369 0.64 4.9 "3"
6.13 -43.44 4503 1.1 4.9 "3"
6.13 -43.44 4503 0.66 4.9 "3"
6.64 -21.9 3527 0.804 4.3 "3"
6.64 -21.9 3527 0.8 4.3 "3"
11.65 -80.13 3237 0.783333333333333 4.9 "3"
11.65 -80.13 3237 0.737666666666667 4.9 "3"
12.44 -18.06 3223 0.65 4.3 "3"
12.44 -18.06 3223 0.59 4.3 "3"
14.42 -20.54 4202 0.76 4.3 "3"
14.42 -20.54 4202 0.835 4.3 "3"
33.69 -57.63 4583 0.6175 4.9 "3"
33.69 -57.63 4583 0.625 4.9 "3"
36.05 -72.38 3942 1.04 4.9 "3"
36.05 -72.38 3942 1.14 4.9 "3"
38.24 -10.39 4602 0.735 4.3 "3"
38.24 -10.39 4602 0.706666666666667 4.3 "3"
41.72 -32.85 3427 0.9225 4.3 "3"
41.72 -32.85 3427 0.995 4.3 "3"
41.75 -47.35 4100 0.786666666666667 4.9 "3"
41.75 -47.35 4100 0.95 4.9 "3"
45.63 -22.75 3625 0.7 4.3 "3"
49.87776 -24.23811 3871 0.94 4.3 "3"
49.87776 -24.23811 3871 0.85 4.3 "3"
49.88 -24.24 3883 0.87 4.3 "3"
49.88 -24.24 3883 0.89 4.3 "3"
-36.2667 19.475 2488 0.848571428571429 3.5 "3"
-36.2667 19.475 2488 0.827142857142857 3.5 "3"
-31.46 15.31 1372 0.346666666666667 3.5 "3"
-31.46 15.31 1372 0.33 3.5 "3"
-27.7 -46.52 1567 1.065 5 "3"
-27.7 -46.52 1567 1.04 5 "3"
-27.51 -46.47 1268 1.1345 5 "3"
-27.51 -46.47 1268 1.14 5 "3"
-26.95 -44.67 2069 1.2965 5 "3"
-26.95 -44.67 2069 1.30375 5 "3"
-26.7 -43.33 2438 1.355 5 "3"
-26.7 -43.33 2438 1.34175 5 "3"
-23.43 11.7 2987 0.496666666666667 3.5 "3"
-23.43 11.7 2987 0.37 3.5 "3"
-22.92 6.04 2505 0.916 3.5 "3"
-22.92 6.04 2505 0.938 3.5 "3"
-20.1 9.19 2209 0.71 3.5 "3"
-20.1 9.19 2209 0.716666666666667 3.5 "3"
-5.78 -10.75 3125 0.963333333333333 3.5 "3"
-5.78 -10.75 3125 0.996666666666667 3.5 "3"
4.34 -43.49 2816 1.2475 4.9 "3"
4.34 -43.49 2816 1.255 4.9 "3"
4.92 -20.5 2937 1.15642857142857 4.3 "3"
4.92 -20.5 2937 1.18428571428571 4.3 "3"
5.45 -21.14 3160 0.965 4.3 "3"
5.45 -21.14 3160 0.9775 4.3 "3"
12.09 -61.24 1299 1.2 4.9 "3"
12.09 -61.24 1299 1.2 4.9 "3"
14.17 -18.58 3167 0.9 4.3 "3"
14.17 -18.58 3167 0.96 4.3 "3"
14.5 -17.95 2384 0.935 4.3 "3"
14.5 -17.95 2384 0.923333333333333 4.3 "3"
15.83 -17.86 2576 0.88 4.3 "3"
18.08 -21.03 3082 1.065 4.3 "3"
18.08 -21.03 3082 1.04 4.3 "3"
18.43 -21.08 3093 0.97 4.3 "3"
18.43 -21.08 3093 0.883333333333333 4.3 "3"
20.75 -18.58 2278 0.785 4.3 "3"
20.75 -18.58 2278 0.94 4.3 "3"
21.15 -18.57 2778 0.99 4.3 "3"
21.15 -18.57 2778 0.9 4.3 "3"
21.24 -18.06 1516 0.87 4.3 "3"
21.24 -18.06 1516 0.86 4.3 "3"
23.14 -17.75 2136 1.11 4.3 "3"
23.14 -17.75 2136 0.72 4.3 "3"
25.17 -16.85 2573 1.08333333333333 4.3 "3"
25.17 -16.85 2573 1.06 4.3 "3"
28.89 -13.23 1358 1.03 4.3 "3"
28.89 -13.23 1358 1.035 4.3 "3"
29.98 -10.65 1512 1.17 4.3 "3"
29.98 -10.65 1512 1.17 4.3 "3"
30.63 -12.4 2324 1.0375 4.3 "3"
30.63 -12.4 2324 1.03125 4.3 "3"
31.41415 -75.25807 3000 0.73 4.9 "3"
31.41415 -75.25807 3000 0.965 4.9 "3"
34.86 -8.13 2460 1.065 4.3 "3"
34.86 -8.13 2460 1.07 4.3 "3"
34.89 -7.82 2022 1.13666666666667 4.3 "3"
34.89 -7.82 2022 1.14333333333333 4.3 "3"
35.65 -8.06 1765 1.228 4.3 "3"
35.65 -8.06 1765 1.226 4.3 "3"
37.58 -31.84 2690 1.17 4.3 "3"
37.58 -31.84 2690 1.11 4.3 "3"
