"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
-29.51 -8.31 4546 0.14 1 NA "11"
6.13 -43.44 4503 -0.34 1 NA "11"
-1.34 -11.9733 3911 0.23 1 NA "11"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "11"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "11"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "11"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "11"
56.16 -31.99 2295 0.9 1 NA "12"
53.18 -19.15 2472 0.8 1 NA "12"
57.51 -15.85 1134 0.3 1 NA "12"
60.4 -23.64 1984 0.91 1 NA "12"
61 -24 1650 -1.17 1 NA "12"
61 -21 2658 0.93 1 NA "12"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "12"
-44.15 -14.23 3783 0.31 1 NA "12"
5.91 -44.2 4056 1.1 1 NA "12"
-3.48 -7.6 4033 0.71 1 NA "12"
1.66 -10.98 4588 0.78 1 NA "12"
-5.78 -10.75 3125 0.68 1 NA "12"
-3.56 -16.43 4675 0.03 1 NA "12"
-23.43 11.7 2987 0.39 1 NA "12"
30.63 -12.4 2324 0.72 1 NA "12"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "12"
5.67 -19.85 2862 0.84 1 NA "12"
49.88 -24.24 3883 0.594 5 0.224899977767896 "12"
-31.46 15.31 1372 0.23 1 NA "12"
-22.33 11.2 3204 0.51 1 NA "12"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "12"
44.07 -40.02 3645 0.94 1 NA "12"
41.75 -47.35 4100 0.386 5 0.272635287517959 "12"
-20.1 9.19 2209 0.45 1 NA "12"
-27.91 -45.88 2504 0.44 1 NA "12"
-29.51 -8.31 4546 0.14 1 NA "12"
6.13 -43.44 4503 -0.34 1 NA "12"
-1.34 -11.9733 3911 0.23 1 NA "12"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "12"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "12"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "12"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "12"
56.16 -31.99 2295 0.9 1 NA "13"
53.54 -20.29 2196 0.88 1 NA "13"
57.51 -15.85 1134 0.3 1 NA "13"
60.4 -23.64 1984 0.91 1 NA "13"
61 -24 1650 -1.17 1 NA "13"
61 -21 2658 0.93 1 NA "13"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "13"
-44.15 -14.23 3783 0.31 1 NA "13"
5.91 -44.2 4056 1.1 1 NA "13"
-3.48 -7.6 4033 0.71 1 NA "13"
1.66 -10.98 4588 0.78 1 NA "13"
-5.78 -10.75 3125 0.68 1 NA "13"
-3.56 -16.43 4675 0.03 1 NA "13"
-23.43 11.7 2987 0.39 1 NA "13"
30.63 -12.4 2324 0.72 1 NA "13"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "13"
5.67 -19.85 2862 0.84 1 NA "13"
49.88 -24.24 3883 0.594 5 0.224899977767896 "13"
-31.46 15.31 1372 0.23 1 NA "13"
-22.33 11.2 3204 0.51 1 NA "13"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "13"
44.07 -40.02 3645 0.94 1 NA "13"
41.75 -47.35 4100 0.386 5 0.272635287517959 "13"
-20.1 9.19 2209 0.45 1 NA "13"
-27.91 -45.88 2504 0.44 1 NA "13"
-29.51 -8.31 4546 0.14 1 NA "13"
6.13 -43.44 4503 -0.34 1 NA "13"
-1.34 -11.9733 3911 0.23 1 NA "13"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "13"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "13"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "13"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "13"
56.16 -31.99 2295 0.9 1 NA "14"
53.54 -20.29 2196 0.88 1 NA "14"
53.18 -19.15 2472 0.8 1 NA "14"
57.51 -15.85 1134 0.3 1 NA "14"
60.4 -23.64 1984 0.91 1 NA "14"
61 -24 1650 -1.17 1 NA "14"
61 -21 2658 0.93 1 NA "14"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "14"
-44.15 -14.23 3783 0.31 1 NA "14"
5.91 -44.2 4056 1.1 1 NA "14"
-3.48 -7.6 4033 0.71 1 NA "14"
1.66 -10.98 4588 0.78 1 NA "14"
-5.78 -10.75 3125 0.68 1 NA "14"
-3.56 -16.43 4675 0.03 1 NA "14"
-23.43 11.7 2987 0.39 1 NA "14"
30.63 -12.4 2324 0.72 1 NA "14"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "14"
5.67 -19.85 2862 0.84 1 NA "14"
49.88 -24.24 3883 0.594 5 0.224899977767896 "14"
-31.46 15.31 1372 0.23 1 NA "14"
-22.33 11.2 3204 0.51 1 NA "14"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "14"
44.07 -40.02 3645 0.94 1 NA "14"
41.75 -47.35 4100 0.386 5 0.272635287517959 "14"
-20.1 9.19 2209 0.45 1 NA "14"
-27.91 -45.88 2504 0.44 1 NA "14"
-29.51 -8.31 4546 0.14 1 NA "14"
6.13 -43.44 4503 -0.34 1 NA "14"
-1.34 -11.9733 3911 0.23 1 NA "14"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "14"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "14"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "14"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "14"
56.16 -31.99 2295 0.9 1 NA "15"
53.54 -20.29 2196 0.88 1 NA "15"
53.18 -19.15 2472 0.8 1 NA "15"
57.51 -15.85 1134 0.3 1 NA "15"
60.4 -23.64 1984 0.91 1 NA "15"
61 -24 1650 -1.17 1 NA "15"
61 -21 2658 0.93 1 NA "15"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "15"
-44.15 -14.23 3783 0.31 1 NA "15"
5.91 -44.2 4056 1.1 1 NA "15"
-3.48 -7.6 4033 0.71 1 NA "15"
1.66 -10.98 4588 0.78 1 NA "15"
-5.78 -10.75 3125 0.68 1 NA "15"
-3.56 -16.43 4675 0.03 1 NA "15"
-23.43 11.7 2987 0.39 1 NA "15"
30.63 -12.4 2324 0.72 1 NA "15"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "15"
5.67 -19.85 2862 0.84 1 NA "15"
-31.46 15.31 1372 0.23 1 NA "15"
-22.33 11.2 3204 0.51 1 NA "15"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "15"
44.07 -40.02 3645 0.94 1 NA "15"
41.75 -47.35 4100 0.386 5 0.272635287517959 "15"
-20.1 9.19 2209 0.45 1 NA "15"
-27.91 -45.88 2504 0.44 1 NA "15"
-29.51 -8.31 4546 0.14 1 NA "15"
6.13 -43.44 4503 -0.34 1 NA "15"
-1.34 -11.9733 3911 0.23 1 NA "15"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "15"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "15"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "15"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "15"
56.16 -31.99 2295 0.9 1 NA "16"
53.54 -20.29 2196 0.88 1 NA "16"
53.18 -19.15 2472 0.8 1 NA "16"
57.51 -15.85 1134 0.3 1 NA "16"
60.4 -23.64 1984 0.91 1 NA "16"
61 -24 1650 -1.17 1 NA "16"
61 -21 2658 0.93 1 NA "16"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "16"
-44.15 -14.23 3783 0.31 1 NA "16"
5.91 -44.2 4056 1.1 1 NA "16"
-3.48 -7.6 4033 0.71 1 NA "16"
1.66 -10.98 4588 0.78 1 NA "16"
-5.78 -10.75 3125 0.68 1 NA "16"
-3.56 -16.43 4675 0.03 1 NA "16"
-23.43 11.7 2987 0.39 1 NA "16"
30.63 -12.4 2324 0.72 1 NA "16"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "16"
5.67 -19.85 2862 0.84 1 NA "16"
49.88 -24.24 3883 0.594 5 0.224899977767896 "16"
-22.33 11.2 3204 0.51 1 NA "16"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "16"
44.07 -40.02 3645 0.94 1 NA "16"
41.75 -47.35 4100 0.386 5 0.272635287517959 "16"
-20.1 9.19 2209 0.45 1 NA "16"
-27.91 -45.88 2504 0.44 1 NA "16"
-29.51 -8.31 4546 0.14 1 NA "16"
6.13 -43.44 4503 -0.34 1 NA "16"
-1.34 -11.9733 3911 0.23 1 NA "16"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "16"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "16"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "16"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "16"
56.16 -31.99 2295 0.9 1 NA "17"
53.54 -20.29 2196 0.88 1 NA "17"
53.18 -19.15 2472 0.8 1 NA "17"
57.51 -15.85 1134 0.3 1 NA "17"
60.4 -23.64 1984 0.91 1 NA "17"
61 -24 1650 -1.17 1 NA "17"
61 -21 2658 0.93 1 NA "17"
-44.15 -14.23 3783 0.31 1 NA "17"
5.91 -44.2 4056 1.1 1 NA "17"
-3.48 -7.6 4033 0.71 1 NA "17"
1.66 -10.98 4588 0.78 1 NA "17"
-5.78 -10.75 3125 0.68 1 NA "17"
-3.56 -16.43 4675 0.03 1 NA "17"
