lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
7.25,64.78,-29.57,1855.0,0.69,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,15.83,-17.86,2576.0,1.0,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,56.16,-31.99,2295.0,0.895,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,53.18,-19.15,2472.0,1.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,64.8,-29.6,1893.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,20.75,-18.58,2278.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,14.5,-17.95,2384.0,0.75,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,-31.46,15.31,1372.0,0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,55.49,-14.7,2168.0,1.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,60.4,-23.64,1984.0,1.27,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.5,61.0,-21.0,2658.0,1.17,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,56.04,-23.22,2311.0,1.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,23.14,-17.75,2136.0,1.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,54.96,-19.76,1487.0,1.27,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,64.8,-29.6,1893.0,0.75,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,14.5,-17.95,2384.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,-27.51,-46.47,1268.0,1.036,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,12.09,-61.24,1299.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,40.58,-9.86,2465.0,0.88,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,57.51,-15.85,1134.0,1.0,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,60.4,-23.64,1984.0,1.26,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.75,61.0,-21.0,2658.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,-20.1,9.19,2209.0,0.49,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,21.15,-18.57,2778.0,0.67,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,15.83,-17.86,2576.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,56.16,-31.99,2295.0,1.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,53.54,-20.29,2196.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,53.18,-19.15,2472.0,1.05,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,54.96,-19.76,1487.0,1.35,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,64.8,-29.6,1893.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,20.75,-18.58,2278.0,0.79,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,37.58,-31.84,2690.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,4.34,-43.49,2816.0,0.775,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,12.09,-61.24,1299.0,1.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,55.48,-14.68,2161.0,1.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,55.49,-14.7,2168.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,60.4,-23.64,1984.0,1.1,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,-26.7,-43.33,2438.0,1.318,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,54.25,-16.83,2393.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.0,61.0,-21.0,2658.0,1.075,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,34.89,-7.82,2022.0,1.15,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,56.16,-31.99,2295.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,53.18,-19.15,2472.0,1.08,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,52.55,-20.33,2841.0,1.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,64.8,-29.6,1893.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,28.89,-13.23,1358.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,20.75,-18.58,2278.0,0.67,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,14.5,-17.95,2384.0,0.74,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,-27.51,-46.47,1268.0,0.933,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,12.09,-61.24,1299.0,0.6,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.25,59.19,-30.9,1416.0,1.15,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,-27.91,-45.88,2504.0,0.89,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,64.8,-29.6,1893.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,-23.43,11.7,2987.0,0.39,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,14.5,-17.95,2384.0,0.64,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,12.09,-61.24,1299.0,0.94,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,55.48,-14.68,2161.0,1.05,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,60.4,-23.64,1984.0,1.26,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,-27.7,-46.52,1567.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,-26.95,-44.67,2069.0,0.8205,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.5,61.0,-21.0,2658.0,1.0775000000000001,4.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,54.63,-16.35,2209.0,0.73,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,4.92,-20.5,2937.0,0.89,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,15.83,-17.86,2576.0,0.99,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,23.14,-17.75,2136.0,0.76,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,34.86,-8.13,2460.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,56.16,-31.99,2295.0,0.74,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,48.22,-27.06,2558.0,1.3250000000000002,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,53.54,-20.29,2196.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,53.18,-19.15,2472.0,1.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,52.55,-20.33,2841.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,64.8,-29.6,1893.0,0.84,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,-22.92,6.04,2505.0,0.79,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,30.63,-12.4,2324.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,20.75,-18.58,2278.0,0.59,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,14.5,-17.95,2384.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,37.58,-31.84,2690.0,1.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,-27.51,-46.47,1268.0,1.062,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,40.58,-9.86,2465.0,1.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,55.48,-14.68,2161.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,26.14,-77.23,1320.0,1.42,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,55.49,-14.7,2168.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,59.19,-30.9,1416.0,1.08,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,40.05,-32.0,2475.0,1.31,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,-19.7,8.88,2675.0,0.66,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
8.75,61.0,-21.0,2658.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,21.15,-18.57,2778.0,0.58,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,25.17,-16.85,2573.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,53.18,-19.15,2472.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,64.8,-29.6,1893.0,0.79,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
